Payment Date,Amount,Currency,Payer,Description,Bank Reference,ACH ID,Transaction ID,Account
2026-06-10,"$1,250.00",USD,ATLAS OFFICE DESIGN,ACH ATLAS INV NS-2026-1001,ATLAS-610,ACH-882001,TXN-10001,OPERATING-001
2026-06-11,$875.50,USD,BLUE CANYON HVAC,ONLINE PAYMENT NS20261002,BC-778,ACH-882002,TXN-10002,OPERATING-001
2026-06-12,"$2,400.00",USD,CEDAR RIDGE DENTAL,WIRE PAYMENT NS-2026-1003,CRD-JUN,,TXN-10003,OPERATING-001
2026-06-28,"$4,725.00",USD,DESERT BLOOM MARKETING,ACH ORIG DESERT BLOOM INV 1004 1005 1006,DBM-BATCH-06,ACH-882004,TXN-10004,OPERATING-001
2026-06-29,"$2,500.00",USD,COPPER STATE LEGAL,PARTIAL PMT NS-2026-1007,CSL-220,ACH-882005,TXN-10005,OPERATING-001
2026-06-30,"$1,800.00",USD,RED MESA LOGISTICS,PARTIAL NS20261008,RML-914,ACH-882006,TXN-10006,OPERATING-001
2026-07-01,"$4,850.00",USD,SUNCREST ARCHITECTURE,CARD SETTLEMENT NS-2026-1009 LESS PLATFORM FEE,SA-118,ACH-882007,TXN-10007,OPERATING-001
2026-06-20,"$3,000.00",USD,HARBORLIGHT CONSULTING,INSTALLMENT NS-2026-1010 1 OF 3,HC-2026-4,ACH-882008,TXN-10008,OPERATING-001
2026-06-27,"$3,000.00",USD,HARBORLIGHT CONSULTING,INSTALLMENT NS-2026-1010 2 OF 3,HC-2026-4,ACH-882009,TXN-10009,OPERATING-001
2026-07-05,"$4,000.00",USD,HARBORLIGHT CONSULTING,FINAL INSTALLMENT NS-2026-1010,HC-2026-4,ACH-882010,TXN-10010,OPERATING-001
2026-06-18,$750.00,USD,JUNIPER DATA SYSTEMS,ACH NS-2026-1011,JDS-77,ACH-882011,TXN-10011,OPERATING-001
2026-06-19,"$1,875.00",USD,SUMMIT FIELD SERVICES,INVOICE NS20261012,SFS-332,ACH-882012,TXN-10012,OPERATING-001
2026-06-22,"$3,200.00",USD,WILLOW CREEK EVENTS,PAYMENT NS-2026-1013,WCE-SUMMER,ACH-882013,TXN-10013,OPERATING-001
2026-06-23,$640.00,USD,HORIZON PRINT WORKS,ACH CREDIT NS20261014,HPW-91,ACH-882014,TXN-10014,OPERATING-001
2026-06-24,"$2,250.00",USD,STONEGATE ADVISORY,TRANSFER NS-2026-1015,SAG-402,ACH-882015,TXN-10015,OPERATING-001
2026-06-25,"$1,425.00",USD,NORTH RIM LANDSCAPE,ACH ORIG NORTH RIM NRL-614,NRL-614,ACH-882016,TXN-10016,OPERATING-001
2026-07-06,"$7,140.00",USD,MESA VERDE LABS,WIRE NS-2026-1017 INCLUDING CREDIT,MVL-820,,TXN-10017,OPERATING-001
2026-06-18,$750.00,USD,JUNIPER DATA SYSTEMS,ACH NS-2026-1011,JDS-77,ACH-882011,TXN-10011,OPERATING-001
2026-07-07,$535.00,USD,REDWOOD COMMUNITY ARTS,MEMBERSHIP DEPOSIT,RCA-707,ACH-882019,TXN-10019,OPERATING-001
2026-07-08,"$2,600.00",USD,BLACK ROCK CATERING,EVENT SERVICES PAYMENT,BRC-708,ACH-882020,TXN-10020,OPERATING-001
2026-07-09,"$9,999.00",USD,VALLEY EQUIPMENT LEASING,WIRE CREDIT NO REMITTANCE,VEL-709,,TXN-10021,OPERATING-001
2026-06-27,$975.00,USD,OCOTILLO CREATIVE,INVOICE NS-2026-1018,OCS-144,ACH-882022,TXN-10022,OPERATING-001
